Datetime;Fuss_IN;Fuss_OUT;Velo_IN;Velo_OUT
2016012522;0.000;0.000;0.000;0.000
2016012523;0.000;0.000;0.000;0.000
2016012600;0.000;0.000;0.000;0.000
2016012601;0.000;0.000;0.000;0.000
2016012602;0.000;0.000;0.000;0.000
2016012603;0.000;0.000;0.000;0.000
2016012604;0.000;0.000;0.000;0.000
2016012605;0.000;0.000;0.000;0.000
2016012606;0.000;0.000;0.000;0.000
2016012607;0.842;0.000;1.065;0.000
2016012608;0.842;3.416;0.000;0.000
2016012609;5.054;3.416;0.000;1.027
2016012610;0.842;0.000;2.131;0.000
2016012611;2.527;3.416;1.065;0.000
2016012612;0.842;1.139;0.000;0.000
2016012613;4.212;3.416;1.065;1.027
2016012614;5.054;10.247;4.261;1.027
2016012615;3.370;3.416;3.196;2.055
2016012616;3.370;1.139;4.261;1.027
2016012617;1.685;1.139;2.131;2.055
2016012618;2.527;2.277;0.000;0.000
2016012619;0.000;0.000;0.000;0.000
2016012620;0.000;0.000;0.000;0.000
2016012621;0.000;0.000;0.000;0.000
2016012622;0.000;0.000;0.000;0.000
2016012623;0.000;0.000;0.000;0.000
2016012700;0.000;0.000;0.000;0.000
2016012701;0.000;0.000;0.000;0.000
2016012702;0.000;0.000;0.000;0.000
2016012703;0.000;0.000;0.000;0.000
2016012704;0.000;0.000;0.000;0.000
2016012705;0.000;0.000;0.000;0.000
2016012706;0.842;1.139;0.000;0.000
2016012707;0.842;0.000;0.000;0.000
2016012708;0.000;0.000;1.065;0.000
2016012709;3.370;2.277;0.000;0.000
2016012710;0.842;2.277;0.000;0.000
2016012711;3.370;2.277;2.131;0.000
2016012712;4.212;6.832;0.000;0.000
2016012713;1.685;0.000;2.131;1.027
2016012714;4.212;3.416;1.065;0.000
2016012715;1.685;2.277;4.261;2.055
2016012716;1.685;2.277;4.261;0.000
2016012717;0.842;1.139;0.000;1.027
2016012718;0.000;0.000;0.000;1.027
2016012719;0.000;0.000;0.000;0.000
2016012720;0.000;0.000;0.000;0.000
2016012721;0.000;0.000;0.000;0.000
2016012722;0.000;0.000;0.000;0.000
2016012723;0.000;0.000;0.000;0.000
2016012800;0.000;0.000;0.000;0.000
2016012801;0.000;0.000;0.000;0.000
2016012802;0.000;0.000;0.000;0.000
2016012803;0.000;0.000;0.000;0.000
2016012804;0.000;0.000;0.000;0.000
2016012805;0.000;0.000;0.000;0.000
